# Time (MET) Delta_Time Flux(10 ^-07 ph cm-2 s-1) Delta_Flux(10^-07 ph cm^-2 s^-1) Index Delta_Index TS Npred
239557417.00000000 2592000.00000000 0.67434390 0.14044216 1.42202424 1.44993547 118.73402258 1.97632223e-05
242149417.00000000 2592000.00000000 0.39141050 0.13387780 1.33294776 1.44993547 118.73402258 1.03566244e-05
244741417.00000000 2592000.00000000 0.65288189 0.15535170 1.57661172 1.44993547 118.73402258 1.89187783e-05
247333417.00000000 2592000.00000000 0.96884248 0.22410020 1.65686897 1.44993547 118.73402258 1.99261511e-05
249925417.00000000 2592000.00000000 0.55138175 0.13255637 1.45507037 1.44993547 118.73402258 1.69409370e-05
252517417.00000000 2592000.00000000 0.28113639 0.07875921 1.16165342 1.44993547 118.73402258 7.97221700e-06
255109417.00000000 2592000.00000000 0.23399885 0.08766402 1.15584149 1.44993547 118.73402258 7.65113233e-06
257701417.00000000 2592000.00000000 0.41764081 0.19097889 1.72676756 1.44993547 118.73402258 8.03107639e-06
260293417.00000000 2592000.00000000 0.35992763 0.14008349 1.58101761 1.44993547 118.73402258 8.71657487e-06
262885417.00000000 2592000.00000000 0.20244415 0.07626268 1.03118417 1.44993547 118.73402258 6.87639743e-06
265477417.00000000 2592000.00000000 0.32233459 0.13134976 1.55387706 1.44993547 118.73402258 7.22323680e-06
268069417.00000000 2592000.00000000 0.29202686 0.09882978 1.34325938 1.44993547 118.73402258 9.47603095e-06
270661417.00000000 2592000.00000000 0.76105535 0.22174686 1.98909127 1.44993547 118.73402258 1.27654317e-05
273253417.00000000 2592000.00000000 0.61459319 0.21412752 1.82116355 1.44993547 118.73402258 1.22735555e-05
275845417.00000000 2592000.00000000 0.74027893 0.22746400 1.84159591 1.44993547 118.73402258 1.22575445e-05
278437417.00000000 2592000.00000000 0.20861655 0.07129632 1.03348799 1.44993547 118.73402258 5.30592809e-06
281029417.00000000 2592000.00000000 0.39898707 0.17056369 1.68217993 1.44993547 118.73402258 7.25313988e-06
283621417.00000000 2592000.00000000 0.30655473 0.07662140 1.25363160 1.44993547 118.73402258 6.74993794e-06
286213417.00000000 2592000.00000000 0.29305441 0.10076248 1.21204603 1.44993547 118.73402258 7.16022239e-06
288805417.00000000 2592000.00000000 0.58208426 0.16000379 1.57797523 1.44993547 118.73402258 1.05480375e-05
291397417.00000000 2592000.00000000 0.53794032 0.18033139 1.48575401 1.44993547 118.73402258 1.08701447e-05
293989417.00000000 2592000.00000000 0.71268238 0.19497123 1.64561139 1.44993547 118.73402258 1.34036658e-05
296581417.00000000 2592000.00000000 0.56971051 0.16309113 1.61172499 1.44993547 118.73402258 1.16015927e-05
299173417.00000000 2592000.00000000 0.71005001 0.17141697 1.45209186 1.44993547 118.73402258 1.56833825e-05
301765417.00000000 2592000.00000000 0.87050220 0.17237821 1.65355325 1.44993547 118.73402258 1.71712583e-05
304357417.00000000 2592000.00000000 0.21082866 0.06160970 0.59549760 1.44993547 118.73402258 6.82001011e-06
306949417.00000000 2592000.00000000 0.78254397 0.17880307 1.70679708 1.44993547 118.73402258 1.19558174e-05
309541417.00000000 2592000.00000000 0.43810640 0.12906866 1.40937870 1.44993547 118.73402258 9.84094054e-06
312133417.00000000 2592000.00000000 0.41482889 0.15374309 1.48235804 1.44993547 118.73402258 7.97254561e-06
314725417.00000000 2592000.00000000 0.23213417 0.10003653 1.38158257 1.44993547 118.73402258 5.53610791e-06
317317417.00000000 2592000.00000000 0.39371713 0.13125920 1.52880535 1.44993547 118.73402258 7.66062892e-06
319909417.00000000 2592000.00000000 0.40500827 0.13870589 1.49658935 1.44993547 118.73402258 8.18884233e-06
322501417.00000000 2592000.00000000 0.27378146 0.10611526 1.29109988 1.44993547 118.73402258 5.73635344e-06
325093417.00000000 2592000.00000000 0.14458093 0.05031367 0.81029244 1.44993547 118.73402258 3.75837188e-06
327685417.00000000 2592000.00000000 0.22018922 0.08913617 1.17955784 1.44993547 118.73402258 5.48523627e-06
330277417.00000000 2592000.00000000 0.63464167 0.21047463 1.73923165 1.44993547 118.73402258 1.03831565e-05
332869417.00000000 2592000.00000000 0.47357565 0.18907378 1.87989592 1.44993547 118.73402258 7.67760288e-06
335461417.00000000 2592000.00000000 0.44031856 0.27190656 1.75358189 1.44993547 118.73402258 7.16041050e-06
338053417.00000000 2592000.00000000 0.39455004 0.15257144 1.48950153 1.44993547 118.73402258 7.83203197e-06
340645417.00000000 2592000.00000000 0.90993072 0.22670849 1.82722957 1.44993547 118.73402258 1.42304245e-05
343237417.00000000 2592000.00000000 0.39679359 0.13685470 1.51910269 1.44993547 118.73402258 8.12245515e-06
345829417.00000000 2592000.00000000 0.37153278 0.12361640 1.41031838 1.44993547 118.73402258 8.81164791e-06
348421417.00000000 2592000.00000000 0.37096729 0.11597295 1.45050631 1.44993547 118.73402258 8.40933656e-06
351013417.00000000 2592000.00000000 0.33141758 0.10465429 1.42045176 1.44993547 118.73402258 8.15346046e-06
353605417.00000000 2592000.00000000 0.28519258 0.10539269 1.13910887 1.44993547 118.73402258 6.97141831e-06
356197417.00000000 2592000.00000000 0.27019370 0.06660614 0.90221170 1.44993547 118.73402258 7.75111835e-06
358789417.00000000 2592000.00000000 0.59278763 0.16969835 1.57885529 1.44993547 118.73402258 1.07893047e-05
361381417.00000000 2592000.00000000 0.23743013 0.09053623 1.10370299 1.44993547 118.73402258 5.55245915e-06
363973417.00000000 2592000.00000000 0.40031918 0.12369158 1.22259742 1.44993547 118.73402258 9.45281557e-06
