#Time (MET)	Delta_Time	Flux(ph cm-2 s-1)	Delta_Flux
451740675.0	0.0	1.1190505452525152	0.014
452002121.4	0.0	1.1190505452525152	0.016
453034601.4	0.0	1.1077702640601759	0.02
453639747.0	0.0	0.9701741597803769	0.02
453896182.2	0.0	0.9818603063701724	0.019
454157887.8	0.0	1.0084391627759473	0.015
454414841.4	0.0	1.1304456920879475	0.024
455274089.4	0.0	1.0347839957395735	0.018
455532425.4	0.0	1.0825543343076494	0.016
455792662.2	0.0	0.9612795496198967	0.014
456048665.4	0.0	0.9666064820282928	0.022
456482047.8	0.0	0.9273628692853374	0.021
456741334.2	0.0	0.8387831609581421	0.015
456995350.2	0.0	0.7400306428592864	0.014
457856586.4	0.0	0.8062128262494195	0.013
458371098.4	0.0	0.8189355102603694	0.016
458802580.0	0.0	0.8654653861599783	0.013
478101575.2	0.0	0.6457281256725389	0.031
480173101.6	0.0	0.698312318410265	0.038
481122205.6	0.0	0.6687283009581714	0.026
481381146.4	0.0	0.7067237773592964	0.023
482588586.4	0.0	0.7292051096758069	0.013
482847440.8	0.0	0.7749072125704193	0.012
483451808.8	0.0	0.8219581446567544	0.026
483710749.6	0.0	0.8662628764401198	0.014
484486103.2	0.0	1.017770135464379	0.013
484744007.2	0.0	0.9891216393527024	0.013
485003812.0	0.0	0.9282173955162463	0.009
485865306.4	0.0	0.8646686300573779	0.015
486209956.0	0.0	0.8766973689045127	0.019
486468551.2	0.0	0.8710632737777316	0.012
486984704.8	0.0	0.7628685361669455	0.019
487244077.6	0.0	0.750325494589065	0.011
487502327.2	0.0	0.8069557177652915	0.015
488276730.4	0.0	0.7325709675320056	0.011
488622157.6	0.0	0.8272746245459168	0.008
488880752.8	0.0	0.8465443259895281	0.011
489136928.8	0.0	0.9256561761555091	0.01
489395524.0	0.0	0.8921742884754623	0.01
489824154.4	0.0	0.8257521310701084	0.009
508596715.4	0.0	1.0855496787903018	0.018
511015137.8	0.0	0.9037528985198637	0.02
514297646.6	0.0	0.9188607553953292	0.012
520585320.2	0.0	1.41009932005746	0.009
523606469.0	0.0	1.16211659561327	0.017
545316197.0	0.0	1.1771985084867358	0.018
546006446.6	0.0	1.1739502784644031	0.014
546092673.8	0.0	1.1642592663595854	0.015
546179160.2	0.0	1.1557122142330465	0.017
546265560.2	0.0	1.1067504396601668	0.02
546351960.2	0.0	1.133573548269778	0.026
546438187.4	0.0	1.1190505452525152	0.021
547300632.2	0.0	1.0825543343076494	0.013
547644331.4	0.0	1.0121612420628734	0.011
547732200.2	0.0	1.0243531403195056	0.012
547990709.0	0.0	1.0618170707405012	0.011
548248353.8	0.0	1.0588872113645849	0.014
548507726.6	0.0	1.0559654363152413	0.013
548852376.2	0.0	1.048213390109736	0.024
549799320.2	0.0	1.0825543343076494	0.011
550316078.6	0.0	1.0647550368116994	0.016
550662110.6	0.0	1.0559654363152413	0.013
550919237.0	0.0	1.0835518630050869	0.031
552902289.8	0.0	1.0855496787903018	0.01
553241669.0	0.0	1.0300295951478313	0.036
553505534.6	0.0	1.0637748126607158	0.013
576764501.0	0.0	1.9339698673428516	0.008
578058513.8	0.0	1.7605554302468547	0.011
578317195.4	0.0	1.6460753188327035	0.011
578750664.2	0.0	1.6294825093845728	0.013
579007790.6	0.0	1.6582488438513079	0.012
579353131.4	0.0	1.6460753188327035	0.012
580474517.0	0.0	1.3306066916006036	0.011
580989979.4	0.0	1.3015165746790158	0.012
581249352.2	0.0	1.3051177708199342	0.014
581765160.2	0.0	1.2213769036135704	0.011
582112056.2	0.0	1.1837219562064456	0.018
582626654.6	0.0	1.3111419207386477	0.015
582883349.0	0.0	1.196877501062424	0.01
583143153.8	0.0	1.211294382594921	0.014
583835217.8	0.0	0.9809563959382688	0.01
584091134.6	0.0	1.0424367250629902	0.009
584694638.6	0.0	1.0405182531725696	0.023
584954616.2	0.0	1.028133956998211	0.016
609682987.4	0.0	1.0386033119850697	0.026
610802731.4	0.0	1.1567771548675634	0.015
611836248.2	0.0	1.3003183854849776	0.023
612094929.8	0.0	1.1859044621760757	0.01
612354648.2	0.0	1.16211659561327	0.018
613303406.6	0.0	1.242938679402476	0.013
614940254.6	0.0	1.2270145232515257	0.011
615542894.6	0.0	1.2180067726642871	0.019
616146485.0	0.0	1.2967304322316617	0.016
616490529.8	0.0	1.3039162663286605	0.018
