#Time (MET)	Delta_Time	Flux(ph cm-2 s-1)	Delta_Flux
426236172.6	0.0	5.042861065676074e-12	0.017
446565487.8	0.0	5.9357691623444216e-12	0.031
447254959.8	0.0	6.401430035251001e-12	0.018
447945987.0	0.0	7.083974728477742e-12	0.017
448550614.2	0.0	6.490482797737746e-12	0.034
448981923.0	0.0	6.09644981640509e-12	0.023
449497817.4	0.0	6.19265667652608e-12	0.02
449584995.0	0.0	6.466614968601774e-12	0.013
450447785.4	0.0	6.8655763822792704e-12	0.022
451137948.6	0.0	7.110121189840277e-12	0.014
451481820.6	0.0	6.690783900239667e-12	0.014
451740675.0	0.0	6.4606617380950376e-12	0.014
452002121.4	0.0	6.4606617380950376e-12	0.016
453034601.4	0.0	6.395536814646781e-12	0.02
453639747.0	0.0	5.601147419098221e-12	0.02
453896182.2	0.0	5.6686155423735866e-12	0.019
454157887.8	0.0	5.822064375718611e-12	0.015
454414841.4	0.0	6.526449820208022e-12	0.024
455274089.4	0.0	5.974162111649026e-12	0.018
455532425.4	0.0	6.24995662326599e-12	0.016
455792662.2	0.0	5.549795790896191e-12	0.014
456048665.4	0.0	5.5805499945721096e-12	0.022
456482047.8	0.0	5.353983188998712e-12	0.021
456741334.2	0.0	4.8425822207502286e-12	0.015
456995350.2	0.0	4.2724501405430316e-12	0.014
457856586.4	0.0	4.654542532871689e-12	0.013
458371098.4	0.0	4.727994941383648e-12	0.016
458802580.0	0.0	4.9966278375278336e-12	0.013
478101575.2	0.0	3.728009438396741e-12	0.031
480173101.6	0.0	4.031595977441393e-12	0.038
481122205.6	0.0	3.860797321006488e-12	0.026
481381146.4	0.0	4.080158208364842e-12	0.023
482588586.4	0.0	4.209950632965202e-12	0.013
482847440.8	0.0	4.473804512286692e-12	0.012
483451808.8	0.0	4.745445644102861e-12	0.026
483710749.6	0.0	5.001232021817159e-12	0.014
484486103.2	0.0	5.875935274118252e-12	0.013
484744007.2	0.0	5.7105377025180265e-12	0.013
485003812.0	0.0	5.358916661349584e-12	0.009
485865306.4	0.0	4.99202789189669e-12	0.015
486209956.0	0.0	5.061473917509129e-12	0.019
486468551.2	0.0	5.028946358348548e-12	0.012
486984704.8	0.0	4.404301113760864e-12	0.019
487244077.6	0.0	4.3318858424888576e-12	0.011
487502327.2	0.0	4.658831499811129e-12	0.015
488276730.4	0.0	4.229382882169373e-12	0.011
488622157.6	0.0	4.776139501808379e-12	0.008
488880752.8	0.0	4.887390082355803e-12	0.011
489136928.8	0.0	5.344129865527909e-12	0.01
489395524.0	0.0	5.150827470411465e-12	0.01
489824154.4	0.0	4.767349625973561e-12	0.009
508596715.4	0.0	6.2672497719745855e-12	0.018
511015137.8	0.0	5.217674748411144e-12	0.02
514297646.6	0.0	5.304897576078781e-12	0.012
520585320.2	0.0	8.140985912261307e-12	0.009
523606469.0	0.0	6.709296784078432e-12	0.017
545316197.0	0.0	6.796369828144459e-12	0.018
546006446.6	0.0	6.777616684677575e-12	0.014
546092673.8	0.0	6.7216671555212455e-12	0.015
546179160.2	0.0	6.672322098783908e-12	0.017
546265560.2	0.0	6.3896490194004745e-12	0.02
546351960.2	0.0	6.544508004301625e-12	0.026
546438187.4	0.0	6.4606617380950376e-12	0.021
547300632.2	0.0	6.24995662326599e-12	0.013
547644331.4	0.0	5.843553213141744e-12	0.011
547732200.2	0.0	5.913941213858546e-12	0.012
547990709.0	0.0	6.1302333043779815e-12	0.011
548248353.8	0.0	6.11331822359965e-12	0.014
548507726.6	0.0	6.09644981640509e-12	0.013
548852376.2	0.0	6.051694600901797e-12	0.024
549799320.2	0.0	6.24995662326599e-12	0.011
550316078.6	0.0	6.147195187882294e-12	0.016
550662110.6	0.0	6.09644981640509e-12	0.013
550919237.0	0.0	6.2557156977917346e-12	0.031
552902289.8	0.0	6.2672497719745855e-12	0.01
553241669.0	0.0	5.9467133300716815e-12	0.036
553505534.6	0.0	6.141536018424862e-12	0.013
576764501.0	0.0	1.1165469850828986e-11	0.008
578058513.8	0.0	1.0164288962858834e-11	0.011
578317195.4	0.0	9.503356104442355e-12	0.011
578750664.2	0.0	9.407560137420286e-12	0.013
579007790.6	0.0	9.57363803016868e-12	0.012
579353131.4	0.0	9.503356104442355e-12	0.012
580474517.0	0.0	7.682047765713219e-12	0.011
580989979.4	0.0	7.51410056605424e-12	0.012
581249352.2	0.0	7.534891503709122e-12	0.014
581765160.2	0.0	7.05142682110806e-12	0.011
582112056.2	0.0	6.834031924161473e-12	0.018
582626654.6	0.0	7.569670982660716e-12	0.015
582883349.0	0.0	6.909983386457248e-12	0.01
583143153.8	0.0	6.993216977017391e-12	0.014
583835217.8	0.0	5.6633969581310426e-12	0.01
584091134.6	0.0	6.018343936805673e-12	0.009
584694638.6	0.0	6.007267942079041e-12	0.023
584954616.2	0.0	5.9357691623444216e-12	0.016
609682987.4	0.0	5.9962123313085815e-12	0.026
610802731.4	0.0	6.6784703654908526e-12	0.015
611836248.2	0.0	7.50718300981537e-12	0.023
612094929.8	0.0	6.84663227798014e-12	0.01
612354648.2	0.0	6.709296784078432e-12	0.018
613303406.6	0.0	7.175910331201282e-12	0.013
614940254.6	0.0	7.083974728477742e-12	0.011
615542894.6	0.0	7.031969901875255e-12	0.019
616146485.0	0.0	7.486468527882349e-12	0.016
616490529.8	0.0	7.527954807124814e-12	0.018
