    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    58232.517680     0.02083    13.71100    -0.01811     0.01811    19.15177 CLEAR data/J1555+1111_20180424_122528_Apr8onfz_kait_clear_c.fit
    58233.517880     0.02083    13.71500    -0.02408     0.02408    19.05488 CLEAR data/J1555+1111_20180425_122545_Apr8pngd_kait_clear_c.fit
    58234.516100     0.02083    13.71700    -0.02011     0.02011    19.08352 CLEAR data/J1555+1111_20180426_122311_Apr8qney_kait_clear_c.fit
    58244.498020     0.02083    13.74400    -0.01117     0.01117    19.27744 CLEAR data/J1555+1111_20180506_115709_May86msy_kait_clear_c.fit
    58248.476400     0.02083    13.82900    -0.00748     0.00748    19.80993 CLEAR data/J1555+1111_20180510_112601_May8ameo_kait_clear_c.fit
    58249.493500     0.02083    13.80000    -0.00823     0.00823    18.90730 CLEAR data/J1555+1111_20180511_115038_May8bmpx_kait_clear_c.fit
    58252.484950     0.02083    13.76200    -0.01209     0.01209    19.68856 CLEAR data/J1555+1111_20180514_113820_May8emkg_kait_clear_c.fit
    58255.466690     0.02083    13.74900    -0.01608     0.01608    19.79050 CLEAR data/J1555+1111_20180517_111202_May8hlyc_kait_clear_c.fit
    58258.468980     0.02083    13.72900    -0.01216     0.01216    18.78992 CLEAR data/J1555+1111_20180520_111520_May8klzq_kait_clear_c.fit
    58262.458350     0.02083    13.77600    -0.01527     0.01527    18.43939 CLEAR data/J1555+1111_20180524_110001_May8olso_kait_clear_c.fit
    58273.417950     0.02083    13.72700    -0.00929     0.00929    19.44169 CLEAR data/J1555+1111_20180604_100151_Jun84krs_kait_clear_c.fit
    58276.399430     0.02083    13.78900    -0.03152     0.03152    17.22094 CLEAR data/J1555+1111_20180607_093511_Jun87kfk_kait_clear_c.fit
    58279.399500     0.02083    13.77200    -0.01142     0.01142    18.95914 CLEAR data/J1555+1111_20180610_093517_Jun8akfm_kait_clear_c.fit
    58283.403540     0.02083    13.76400    -0.01409     0.01409    19.75262 CLEAR data/J1555+1111_20180614_094106_Jun8ekid_kait_clear_c.fit
    58286.380140     0.02083    13.74500    -0.01713     0.01713    17.77388 CLEAR data/J1555+1111_20180617_090724_Jun8hjso_kait_clear_c.fit
    58309.332380     0.02083    13.74900    -0.00720     0.00720    19.54636 CLEAR data/J1555+1111_20180710_075838_Jul8aimw_kait_clear_c.fit
    58313.259650     0.02083    13.80800    -0.03403     0.03403    19.92427 CLEAR data/J1555+1111_20180714_061354_Jul8egqn_kait_clear_c.fit
    58316.313710     0.02083    13.74400    -0.01408     0.01408    19.78783 CLEAR data/J1555+1111_20180717_073145_Jul8hial_kait_clear_c.fit
    58585.515090     0.02083    13.12000    -0.00711     0.00711    19.68864 CLEAR data/J1555+1111_20190412_122144_Apr9cneh_kait_clear_c.fit
    58600.491770     0.02083    13.20500    -0.01105     0.01105    19.68687 CLEAR data/J1555+1111_20190427_114809_Apr9rmou_kait_clear_c.fit
    58603.485850     0.02083    13.28800    -0.01207     0.01207    19.75258 CLEAR data/J1555+1111_20190430_113937_Apr9umkv_kait_clear_c.fit
    58608.502780     0.02083    13.23800    -0.01108     0.01108    19.41290 CLEAR data/J1555+1111_20190505_120400_May95mwc_kait_clear_c.fit
    58611.478630     0.02083    13.20500    -0.01106     0.01106    19.82764 CLEAR data/J1555+1111_20190508_112914_May98mga_kait_clear_c.fit
    58615.475580     0.02083    13.27000    -0.01406     0.01406    19.97111 CLEAR data/J1555+1111_20190512_112450_May9cmea_kait_clear_c.fit
    58628.454570     0.02083    13.42100    -0.01009     0.01009    19.41186 CLEAR data/J1555+1111_20190525_105435_May9plqb_kait_clear_c.fit
    58634.421270     0.02083    13.47700    -0.00914     0.00914    19.88062 CLEAR data/J1555+1111_20190531_100638_May9vkty_kait_clear_c.fit
    58637.423080     0.02083    13.46800    -0.01406     0.01406    19.83561 CLEAR data/J1555+1111_20190603_100914_Jun93kvd_kait_clear_c.fit
    58643.392820     0.02083    13.58200    -0.00951     0.00951    18.98230 CLEAR data/J1555+1111_20190609_092540_Jun99kba_kait_clear_c.fit
    58647.407700     0.02083    13.61100    -0.01199     0.01199    18.60701 CLEAR data/J1555+1111_20190613_094705_Jun9dkkx_kait_clear_c.fit
    58653.363900     0.02083    13.51600    -0.01317     0.01317    19.32122 CLEAR data/J1555+1111_20190619_084401_Jun9jjhu_kait_clear_c.fit
    58656.334750     0.02083    13.62200    -0.00831     0.00831    19.68596 CLEAR data/J1555+1111_20190622_080202_Jun9miok_kait_clear_c.fit
    58659.342290     0.02083    13.60500    -0.01025     0.01025    19.05515 CLEAR data/J1555+1111_20190625_081254_Jun9pitl_kait_clear_c.fit
    58667.351910     0.02083    13.68500    -0.00793     0.00793    18.93264 CLEAR data/J1555+1111_20190703_082645_Jul93izv_kait_clear_c.fit
    58670.314440     0.02083    13.70700    -0.00911     0.00911    19.92876 CLEAR data/J1555+1111_20190706_073248_Jul96iax_kait_clear_c.fit
    58677.299060     0.02083    13.64200    -0.01950     0.01950    18.02033 CLEAR data/J1555+1111_20190713_071039_Jul9dhqs_kait_clear_c.fit
    58680.308540     0.02083    13.69000    -0.01062     0.01062    18.26617 CLEAR data/J1555+1111_20190716_072418_Jul9ghwz_kait_clear_c.fit
    58966.516130     0.02083    13.67700    -0.01617     0.01617    17.80938 CLEAR data/J1555+1111_20200427_122314_Apr0rney_kait_clear_c.fit
    58979.475530     0.02083    13.67200    -0.00938     0.00938    18.99224 CLEAR data/J1555+1111_20200510_112446_May0amdz_kait_clear_c.fit
    58991.438030     0.02083    13.51400    -0.01436     0.01436    17.97733 CLEAR data/J1555+1111_20200522_103046_May0mlfb_kait_clear_c.fit
    58994.432100     0.02083    13.55200    -0.00918     0.00918    19.59986 CLEAR data/J1555+1111_20200525_102213_May0plbd_kait_clear_c.fit
    58997.438510     0.02083    13.58300    -0.01214     0.01214    19.57714 CLEAR data/J1555+1111_20200528_103127_May0slfj_kait_clear_c.fit
    59008.418680     0.02083    13.43200    -0.01329     0.01329    18.22047 CLEAR data/J1555+1111_20200608_100254_Jun08ksf_kait_clear_c.fit
    59027.364260     0.02083    13.51400    -0.00818     0.00818    19.26008 CLEAR data/J1555+1111_20200627_084432_Jun0rjib_kait_clear_c.fit
    59034.338780     0.02083    13.51200    -0.02108     0.02108    18.92275 CLEAR data/J1555+1111_20200704_080751_Jul04irc_kait_clear_c.fit
    59041.324870     0.02083    13.44800    -0.01419     0.01419    19.26926 CLEAR data/J1555+1111_20200711_074749_Jul0bihw_kait_clear_c.fit
    59045.306980     0.02083    13.45800    -0.01508     0.01508    19.21804 CLEAR data/J1555+1111_20200715_072203_Jul0fhvz_kait_clear_c.fit
    59280.577180     0.02083    13.51600    -0.02714     0.02714    17.09671 CLEAR data/J1555+1111_20210307_135108_Mar17oto_kait_clear_c.fit
    59327.521530     0.02083    13.38600    -0.01556     0.01556    17.97660 CLEAR data/J1555+1111_20210423_123100_Apr1nnio_kait_clear_c.fit
    59341.444720     0.02083    13.54800    -0.00856     0.00856    18.81996 CLEAR data/J1555+1111_20210507_104024_May17ljl_kait_clear_c.fit
    59344.436530     0.02083    13.62200    -0.00719     0.00719    19.05120 CLEAR data/J1555+1111_20210510_102836_May1alea_kait_clear_c.fit
    59348.467540     0.02083    13.75500    -0.01214     0.01214    19.64758 CLEAR data/J1555+1111_20210514_111315_May1elyr_kait_clear_c.fit
    59350.455230     0.02083    13.75800    -0.00838     0.00838    19.02338 CLEAR data/J1555+1111_20210516_105532_May1glqm_kait_clear_c.fit
    59351.456810     0.02083    13.69900    -0.00823     0.00823    19.23253 CLEAR data/J1555+1111_20210517_105748_May1hlrn_kait_clear_c.fit
    59355.402970     0.02083    13.67400    -0.00730     0.00730    19.09689 CLEAR data/J1555+1111_20210521_094017_May1lkhu_kait_clear_c.fit
    59356.408850     0.02083    13.62500    -0.00920     0.00920    19.14302 CLEAR data/J1555+1111_20210522_094845_May1mklr_kait_clear_c.fit
    59776.312130     0.02083    13.99100    -0.01353     0.01353    18.39799 CLEAR data/J1555+1111_20220716_072928_Jul2ghzk_kait_clear_c.fit
    59777.312820     0.02083    14.00000    -0.01037     0.01037    18.46423 CLEAR data/J1555+1111_20220717_073028_Jul2hhzw_kait_clear_c.fit
