    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    56148.209170     0.02083    13.67300    -0.01406     0.01406    19.94100 CLEAR data/J1555+1111_20120809_050112_Aug29fiy_kait_clear_c.fit
    56151.217280     0.02083    13.65300    -0.02012     0.02012    19.64365 CLEAR data/J1555+1111_20120812_051253_Aug2cfoj_kait_clear_c.fit
    56154.184880     0.02083    13.64400    -0.00809     0.00809    19.61680 CLEAR data/J1555+1111_20120815_042614_Aug2fesv_kait_clear_c.fit
    56322.471640     0.02083    13.44200    -0.05853     0.05853    17.65261 CLEAR data/J1555+1111_20130130_111910_Jan3umbi_kait_clear_c.fit
    56326.510360     0.02083    13.56100    -0.01038     0.01038    19.43112 CLEAR data/J1555+1111_20130203_121455_Feb33nbd_kait_clear_c.fit
    56332.589790     0.02083    13.64900    -0.00857     0.00857    18.87548 CLEAR data/J1555+1111_20130209_140918_Feb39pby_kait_clear_c.fit
    56336.581790     0.02083    13.67000    -0.01122     0.01122    19.46423 CLEAR data/J1555+1111_20130213_135747_Feb3dowp_kait_clear_c.fit
    56340.581010     0.02083    13.74000    -0.00749     0.00749    19.35894 CLEAR data/J1555+1111_20130217_135639_Feb3howb_kait_clear_c.fit
    56350.548350     0.02083    13.91700    -0.01107     0.01107    18.44161 CLEAR data/J1555+1111_20130227_130937_Feb3roak_kait_clear_c.fit
    56353.514870     0.02083    13.90500    -0.04163     0.04163    16.87859 CLEAR data/J1555+1111_20130302_122125_Mar32ned_kait_clear_c.fit
    56356.530350     0.02083    13.91200    -0.01036     0.01036    19.08842 CLEAR data/J1555+1111_20130305_124342_Mar35nol_kait_clear_c.fit
    56360.522160     0.02083    13.83400    -0.00758     0.00758    19.48365 CLEAR data/J1555+1111_20130309_123155_Mar39niz_kait_clear_c.fit
    56363.505290     0.02083    13.90300    -0.01025     0.01025    19.83653 CLEAR data/J1555+1111_20130312_120737_Mar3cmxu_kait_clear_c.fit
    56368.508590     0.02083    13.93200    -0.00835     0.00835    19.72053 CLEAR data/J1555+1111_20130317_121222_Mar3hmzy_kait_clear_c.fit
    56373.452280     0.02083    13.98500    -0.00940     0.00940    18.85390 CLEAR data/J1555+1111_20130322_105117_Mar3mlon_kait_clear_c.fit
    56376.485540     0.02083    14.04700    -0.01795     0.01795    17.75562 CLEAR data/J1555+1111_20130325_113911_Mar3pmkq_kait_clear_c.fit
    56392.419650     0.02083    14.03400    -0.00727     0.00727    19.58639 CLEAR data/J1555+1111_20130410_100418_Apr3aksv_kait_clear_c.fit
    56398.431130     0.02083    14.13000    -0.00727     0.00727    19.08556 CLEAR data/J1555+1111_20130416_102050_Apr3glam_kait_clear_c.fit
    56404.424170     0.02083    14.19600    -0.00845     0.00845    19.42060 CLEAR data/J1555+1111_20130422_101048_Apr3mkvv_kait_clear_c.fit
    56412.377380     0.02083    14.19300    -0.01713     0.01713    19.75205 CLEAR data/J1555+1111_20130430_090326_Apr3ujqt_kait_clear_c.fit
    56415.380530     0.02083    14.25300    -0.00938     0.00938    19.88563 CLEAR data/J1555+1111_20130503_090758_May33jsw_kait_clear_c.fit
    56418.372020     0.02083    14.25800    -0.00786     0.00786    19.50746 CLEAR data/J1555+1111_20130506_085543_May36jnf_kait_clear_c.fit
    56421.350850     0.02083    14.20600    -0.01047     0.01047    20.06983 CLEAR data/J1555+1111_20130509_082513_May39izd_kait_clear_c.fit
    56422.337200     0.02083    14.22200    -0.01218     0.01218    19.89215 CLEAR data/J1555+1111_20130510_080534_May3aiqb_kait_clear_c.fit
    56425.354640     0.02083    14.23300    -0.01422     0.01422    19.80330 CLEAR data/J1555+1111_20130513_083041_May3djbq_kait_clear_c.fit
    56428.344980     0.02083    14.23000    -0.00826     0.00826    19.16006 CLEAR data/J1555+1111_20130516_081646_May3givf_kait_clear_c.fit
